from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS 50 Beringer Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS 50 Beringer Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS 50 Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS 50 Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS 516 Bridge House Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS 516 Bridge House Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS100 Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS100 Electrical Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/TMS50 Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/TMS50 Electrical Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Traveling Cable Reference Diagram.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Traveling Cable Reference Diagram.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Travelmaster Fault Codes.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Travelmaster Fault Codes.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/V3F20 Training and Service Section 8.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/V3F20 Training and Service Section 8.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/1 - 2V Relay Wiring Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/1 - 2V Relay Wiring Diagram.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/4004A - 4005A Relay Wiring Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/4004A - 4005A Relay Wiring Diagram.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/4008 Relay Wiring Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/4008 Relay Wiring Diagram.pdf,Orona,high_confidence
